id	layer	check	verdict	subject	evidence	autofix	action
C1-8fc50e	conservation	C1	IDENTISCH	7 source artefacts	all present in fsh-generated, matched by id or canonical url (source: fsh-generated/resources)	-	-
C2-9a6634	conservation	C2	IDENTISCH	output/de (7 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C2-9503fd	conservation	C2	IDENTISCH	output/en (7 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C3-2e311d	conservation	C3	IDENTISCH	index.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-c7f22b	conservation	C3	IDENTISCH	BeschreibungvonSzenarienfrdieAnwendungderModule-1.x.page.md	migrated -> input/pagecontent/guidance.md (input/pagecontent/guidance.md)	-	-
C3-e80f21	conservation	C3	IDENTISCH	Datenstzeinkl.Beschreibungen-1.x.page.md	migrated -> input/pagecontent/logical-models.md (input/pagecontent/logical-models.md)	-	-
C3-046b75	conservation	C3	IDENTISCH	AnwendungsflleInformationsmodell-1.x/Index.page.md	retired: [MAP-EDIT] folder index intentionally blank; its 3 children route to guidance/logical-models/uml-diagrams - the template's Guidance cluster replaces the folder grouping	-	-
C3-0a30df	conservation	C3	IDENTISCH	UML-1.x.page.md	migrated -> input/pagecontent/uml-diagrams.md (input/pagecontent/uml-diagrams.md)	-	-
C3-cc802b	conservation	C3	IDENTISCH	BeschreibungModul-1.x.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-dbc687	conservation	C3	IDENTISCH	MIIIGModulSymptom/Index.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-5b0424	conservation	C3	IDENTISCH	KontextimGesamtprojektBezgezuanderenModulen-1.x.page.md	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-172b19	conservation	C3	IDENTISCH	Referenzen-1.x.page.md	retired: [MAP-EDIT] intentionally blank in source ('Diese Seite wurde absichtlich leer gelassen') - nothing to merge; Referenzen concern re-routes to implementer-guidance if content ever appears	-	-
C3-32eff4	conservation	C3	IDENTISCH	CapabilityStatement.page.md	migrated -> input/pagecontent/capability-statements.md (input/pagecontent/capability-statements.md)	-	-
C3-0aeaba	conservation	C3	IDENTISCH	Condition-1.x.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-symptom-condition-intro.md (input/intro-notes/StructureDefinition-mii-pr-symptom-condition-intro.md)	-	-
C3-098888	conservation	C3	IDENTISCH	FHIR-Profile-1.x/Index.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-79b107	conservation	C3	IDENTISCH	Observation-1.x.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-symptom-observation-intro.md (input/intro-notes/StructureDefinition-mii-pr-symptom-observation-intro.md)	-	-
C3-8cd130	conservation	C3	IDENTISCH	Observation-Condition-Relationship.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-704407	conservation	C3	IDENTISCH	TechnischeImplementierung-1.x/Index.page.md	retired: [MAP-EDIT] folder index intentionally blank; its children route to profiles/capability-statements - template artifact cluster replaces the folder grouping	-	-
